"f" "voor" "ref" "hyp"
"64" "08072021_result.TextGrid" 4 "läbi" "läbi"
"65" "08072021_result.TextGrid" 4 "põlemas" "põlema"
"66" "08072021_result.TextGrid" 4 "ja" "ja"
"67" "08072021_result.TextGrid" 4 "ma" "ma"
"68" "08072021_result.TextGrid" 4 "ei" "ei"
"69" "08072021_result.TextGrid" 4 "saanud" "saanud"
"70" "08072021_result.TextGrid" 4 "mitte" "mitte"
"71" "08072021_result.TextGrid" 4 "midagi" "midagi"
"72" "08072021_result.TextGrid" 4 "aru" "aru"
"73" "08072021_result.TextGrid" 4 "mida" "mida"
"74" "08072021_result.TextGrid" 4 "ma" "ma"
"75" "08072021_result.TextGrid" 4 "siin" "siin"
"76" "08072021_result.TextGrid" 4 "räägin" "räägin"
"77" "08072021_result.TextGrid" 4 "aga" "aga"
"78" "08072021_result.TextGrid" 4 "loodetavasti" "loodetavasti"
"79" "08072021_result.TextGrid" 4 "oli" "oli"
"80" "08072021_result.TextGrid" 4 "huvitav" "huvitav"
"81" "08072021_result.TextGrid" 4 "kuulata" "kuulata"
"82" "08072021_result.TextGrid" 4 "kuidas" "kuidas"
"83" "08072021_result.TextGrid" 4 "kuidas" "kuidas"
"84" "08072021_result.TextGrid" 4 "reis" "reis"
"85" "08072021_result.TextGrid" 4 "oli" "oli"
"86" "08072021_result.TextGrid" 5 "tore" "tore"
"87" "08072021_result.TextGrid" 5 "kuulda" "kuulda"
"88" "08072021_result.TextGrid" 5 "aga" "aga"
"89" "08072021_result.TextGrid" 5 "me" "me"
"90" "08072021_result.TextGrid" 5 "ei" "ei"
"91" "08072021_result.TextGrid" 5 "ole" "ole"
"92" "08072021_result.TextGrid" 5 "täna" "täna"
"93" "08072021_result.TextGrid" 5 "siin" "siin"
"94" "08072021_result.TextGrid" 5 "kahekesi" "kahekesi"
"95" "08072021_result.TextGrid" 5 "meil" "meil"
"96" "08072021_result.TextGrid" 5 "on" "on"
"97" "08072021_result.TextGrid" 5 "ka" "ka"
"98" "08072021_result.TextGrid" 5 "kaks" "kaks"
"99" "08072021_result.TextGrid" 5 "saatekülalist" "saatekülalist"
"100" "08072021_result.TextGrid" 5 "üks" "üks"
"101" "08072021_result.TextGrid" 5 "neist" "neist"
"102" "08072021_result.TextGrid" 5 "on" "on"
"103" "08072021_result.TextGrid" 5 "ann" "ann"
"104" "08072021_result.TextGrid" 5 "vaida" "vaida"
"105" "08072021_result.TextGrid" 5 "teine" "####"
"106" "08072021_result.TextGrid" 5 "teine" "teine"
"107" "08072021_result.TextGrid" 5 "on" "on"
"108" "08072021_result.TextGrid" 5 "barbara" "barbara"
"109" "08072021_result.TextGrid" 5 "oja" "oja"
"110" "08072021_result.TextGrid" 5 "kas" "kas"
"111" "08072021_result.TextGrid" 5 "te" "te"
"112" "08072021_result.TextGrid" 5 "soovite" "soovite"
"113" "08072021_result.TextGrid" 5 "end" "end"
"114" "08072021_result.TextGrid" 5 "tutvustada" "tutvustada"
"115" "08072021_result.TextGrid" 5 "kes" "kes"
"116" "08072021_result.TextGrid" 5 "te" "te"
"117" "08072021_result.TextGrid" 5 "sellised" "sellised"
"118" "08072021_result.TextGrid" 5 "olete" "olete"
"119" "08072021_result.TextGrid" 5 "mis" "mis"
"120" "08072021_result.TextGrid" 5 "te" "te"
"121" "08072021_result.TextGrid" 5 "teete" "teete"
"122" "08072021_result.TextGrid" 5 "miks" "miks"
"123" "08072021_result.TextGrid" 5 "te" "te"
"124" "08072021_result.TextGrid" 5 "siin" "siin"
"125" "08072021_result.TextGrid" 5 "olete" "olete"
"126" "08072021_result.TextGrid" 6 "tere" "tere"
"127" "08072021_result.TextGrid" 6 "mina" "mina"
"128" "08072021_result.TextGrid" 6 "olen" "olen"
"129" "08072021_result.TextGrid" 6 "barbara" "barbara"
"130" "08072021_result.TextGrid" 7 "n" "####"
"131" "08072021_result.TextGrid" 7 "noh" "noh"
"132" "08072021_result.TextGrid" 7 "jah" "jah"
"133" "08072021_result.TextGrid" 7 "ma" "ma"
"134" "08072021_result.TextGrid" 7 "ka" "ka"
"135" "08072021_result.TextGrid" 7 "väga" "väga"
"136" "08072021_result.TextGrid" 7 "hästi" "hästi"
"137" "08072021_result.TextGrid" 7 "ei" "ei"
"138" "08072021_result.TextGrid" 7 "tea" "tea"
"139" "08072021_result.TextGrid" 7 "miks" "miks"
"140" "08072021_result.TextGrid" 7 "ma" "ma"
"141" "08072021_result.TextGrid" 7 "siin" "####"
"142" "08072021_result.TextGrid" 7 "olen" "####"
"143" "08072021_result.TextGrid" 7 "aga" "####"
"144" "08072021_result.TextGrid" 8 "me" "me"
"145" "08072021_result.TextGrid" 8 "ikka" "ikka"
"146" "08072021_result.TextGrid" 8 "oleme" "oleme"
"147" "08072021_result.TextGrid" 8 "oleme" "oleme"
"148" "08072021_result.TextGrid" 8 "arutanud" "arutanud"
"149" "08072021_result.TextGrid" 8 "erinevaid" "erinevaid"
"150" "08072021_result.TextGrid" 8 "teemasid" "teemasid"
"151" "08072021_result.TextGrid" 8 "kui" "kui"
"152" "08072021_result.TextGrid" 8 "me" "me"
"153" "08072021_result.TextGrid" 8 "oleme" "oleme"
"154" "08072021_result.TextGrid" 8 "kokku" "kokku"
"155" "08072021_result.TextGrid" 8 "juhtunud" "juhtunud"
"156" "08072021_result.TextGrid" 8 "ja" "ja"
"157" "08072021_result.TextGrid" 8 "siis" "siis"
"158" "08072021_result.TextGrid" 8 "on" "on"
"159" "08072021_result.TextGrid" 8 "tundunud" "tundunud"
"160" "08072021_result.TextGrid" 8 "et" "et"
"161" "08072021_result.TextGrid" 8 "meil" "meil"
"162" "08072021_result.TextGrid" 8 "on" "on"
"163" "08072021_result.TextGrid" 8 "millest" "millest"
"164" "08072021_result.TextGrid" 8 "rääkida" "rääkida"
"165" "08072021_result.TextGrid" 9 "jaa" "####"
"166" "08072021_result.TextGrid" 9 "see" "ja"
"167" "08072021_result.TextGrid" 9 "oli" "sai"
"168" "08072021_result.TextGrid" 9 "kohe" "kohe"
"169" "08072021_result.TextGrid" 9 "alguses" "alguses"
"170" "08072021_result.TextGrid" 9 "jaa" "ja"
"171" "08072021_result.TextGrid" 9 "kindlasti" "kindlasti"
"172" "08072021_result.TextGrid" 9 "kutsume" "kutsume"
"173" "08072021_result.TextGrid" 9 "barbara" "####"
"174" "08072021_result.TextGrid" 9 "ja" "####"
"175" "08072021_result.TextGrid" 9 "anni" "####"
"176" "08072021_result.TextGrid" 9 "ka" "####"
"177" "08072021_result.TextGrid" 9 "it" "####"
"178" "08072021_result.TextGrid" 9 "was" "####"
"179" "08072021_result.TextGrid" 9 "a" "####"
"180" "08072021_result.TextGrid" 9 "fact" "varbaraamiga"
"181" "08072021_result.TextGrid" 10 "aga" "aga"
"182" "08072021_result.TextGrid" 10 "jah" "jah"
"183" "08072021_result.TextGrid" 10 "ja" "ja"
"184" "08072021_result.TextGrid" 10 "ma" "ma"
"185" "08072021_result.TextGrid" 10 "arvan" "arvan"
"186" "08072021_result.TextGrid" 10 "et" "####"
"187" "08072021_result.TextGrid" 10 "juhtuski" "juhtuski"
"188" "08072021_result.TextGrid" 10 "nii" "nii"
"189" "08072021_result.TextGrid" 10 "et" "et"
"190" "08072021_result.TextGrid" 10 "me" "me"
"191" "08072021_result.TextGrid" 10 "vist" "vist"
"192" "08072021_result.TextGrid" 10 "olime" "olime"
"193" "08072021_result.TextGrid" 10 "sveta" "####"
"194" "08072021_result.TextGrid" 10 "ees" "####"
"195" "08072021_result.TextGrid" 10 "ja" "swedja"
"196" "08072021_result.TextGrid" 10 "siis" "siis"
"197" "08072021_result.TextGrid" 10 "saime" "saime"
"198" "08072021_result.TextGrid" 10 "saime" "saime"
"199" "08072021_result.TextGrid" 10 "kokku" "kokku"
"200" "08072021_result.TextGrid" 10 "ja" "ja"
"201" "08072021_result.TextGrid" 10 "olime" "olime"
"202" "08072021_result.TextGrid" 10 "davai" "tavai"
"203" "08072021_result.TextGrid" 10 "tulge" "tulge"
"204" "08072021_result.TextGrid" 10 "saatesse" "saatesse"
"205" "08072021_result.TextGrid" 10 "et" "####"
"206" "08072021_result.TextGrid" 10 "kuidas" "kuidas"
"207" "08072021_result.TextGrid" 10 "eestis" "eestis"
"208" "08072021_result.TextGrid" 10 "need" "need"
"209" "08072021_result.TextGrid" 10 "asjad" "asjad"
"210" "08072021_result.TextGrid" 10 "käivad" "käivad"
"211" "08072021_result.TextGrid" 10 "ja" "ja"
"212" "08072021_result.TextGrid" 10 "anniga" "anniga"
"213" "08072021_result.TextGrid" 10 "me" "me"
"214" "08072021_result.TextGrid" 10 "kirjut" "####"
"215" "08072021_result.TextGrid" 10 "korraldasime" "korraldasime"
"216" "08072021_result.TextGrid" 10 "just" "just"
"217" "08072021_result.TextGrid" 10 "vikervelo" "vikervelo"
"218" "08072021_result.TextGrid" 10 "koos" "koos"
"219" "08072021_result.TextGrid" 10 "suur" "suur"
"220" "08072021_result.TextGrid" 10 "aitäh" "aitäh"
"221" "08072021_result.TextGrid" 10 "ann" "####"
"222" "08072021_result.TextGrid" 10 "et" "ainet"
"223" "08072021_result.TextGrid" 10 "sa" "sa"
"224" "08072021_result.TextGrid" 10 "kampa" "kampa"
"225" "08072021_result.TextGrid" 10 "tulid" "tulid"
"226" "08072021_result.TextGrid" 11 "ei" "ei"
"227" "08072021_result.TextGrid" 11 "kusjuures" "kusjuures"
"228" "08072021_result.TextGrid" 11 "isegi" "isegi"
"229" "08072021_result.TextGrid" 11 "sama" "sama"
"230" "08072021_result.TextGrid" 11 "ma" "ma"
"231" "08072021_result.TextGrid" 11 "olen" "olen"
"232" "08072021_result.TextGrid" 11 "nagu" "nagu"
"233" "08072021_result.TextGrid" 11 "suht" "suht"
"234" "08072021_result.TextGrid" 11 "suht" "suht"
"235" "08072021_result.TextGrid" 11 "hästi" "hästi"
"236" "08072021_result.TextGrid" 11 "seda" "seda"
"237" "08072021_result.TextGrid" 11 "rünnakut" "rünnakut"
"238" "08072021_result.TextGrid" 11 "võtnud" "võtnud"
"239" "08072021_result.TextGrid" 11 "mis" "mis"
"240" "08072021_result.TextGrid" 11 "meil" "meil"
"241" "08072021_result.TextGrid" 11 "väike" "väike"
"242" "08072021_result.TextGrid" 11 "oli" "oli"
"243" "08072021_result.TextGrid" 11 "seal" "seal"
"244" "08072021_result.TextGrid" 12 "no" "ei"
"245" "08072021_result.TextGrid" 12 "ei" "####"
"246" "08072021_result.TextGrid" 12 "see" "####"
"247" "08072021_result.TextGrid" 12 "no" "####"
"248" "08072021_result.TextGrid" 12 "kahju" "kahjuks"
"249" "08072021_result.TextGrid" 12 "kahjuks" "jah"
"250" "08072021_result.TextGrid" 12 "jah" "aga"
"251" "08072021_result.TextGrid" 12 "aga" "see"
"252" "08072021_result.TextGrid" 12 "see" "ikka"
"253" "08072021_result.TextGrid" 12 "ikka" "veits"
"254" "08072021_result.TextGrid" 12 "veits" "####"
"255" "08072021_result.TextGrid" 12 "no" "vähemalt"
"256" "08072021_result.TextGrid" 12 "vähemalt" "mul"
"257" "08072021_result.TextGrid" 12 "mul" "oli"
"258" "08072021_result.TextGrid" 12 "oli" "küll"
"259" "08072021_result.TextGrid" 12 "küll" "see"
"260" "08072021_result.TextGrid" 12 "see" "et"
"261" "08072021_result.TextGrid" 12 "et" "kui"
"262" "08072021_result.TextGrid" 12 "kui" "see"
"263" "08072021_result.TextGrid" 12 "see" "kui"
"264" "08072021_result.TextGrid" 12 "kui" "see"
"265" "08072021_result.TextGrid" 12 "see" "värk"
"266" "08072021_result.TextGrid" 12 "värk" "käis"
"267" "08072021_result.TextGrid" 12 "käis" "####"
"268" "08072021_result.TextGrid" 12 "see" "####"
"269" "08072021_result.TextGrid" 12 "oli" "just"
"270" "08072021_result.TextGrid" 12 "just" "nagu"
"271" "08072021_result.TextGrid" 12 "nagu" "proovisõidu"
"272" "08072021_result.TextGrid" 12 "proovisõidu" "ja"
"273" "08072021_result.TextGrid" 12 "ajal" "ja"
"274" "08072021_result.TextGrid" 12 "ja" "siis"
"275" "08072021_result.TextGrid" 12 "siis" "me"
"276" "08072021_result.TextGrid" 12 "ma" "pidime"
"277" "08072021_result.TextGrid" 12 "pidi" "hakkasime"
"278" "08072021_result.TextGrid" 12 "hakkasime" "seda"
"279" "08072021_result.TextGrid" 12 "####" "proovi"
"280" "08072021_result.TextGrid" 12 "seda" "sõitu"
"281" "08072021_result.TextGrid" 12 "proovisõitu" "läbi"
"282" "08072021_result.TextGrid" 12 "läbi" "sõitma"
"283" "08072021_result.TextGrid" 12 "sõitma" "ja"
"284" "08072021_result.TextGrid" 12 "ja" "siis"
"285" "08072021_result.TextGrid" 12 "siis" "nagu"
"286" "08072021_result.TextGrid" 12 "nagu" "käed"
"287" "08072021_result.TextGrid" 12 "käed" "värisesid"
"288" "08072021_result.TextGrid" 12 "värisesid" "küll"
"289" "08072021_result.TextGrid" 12 "küll" "####"
"290" "08072021_result.TextGrid" 12 "kui" "nagu"
"291" "08072021_result.TextGrid" 12 "nagu" "####"
"292" "08072021_result.TextGrid" 12 "rattale" "ratta"
"293" "08072021_result.TextGrid" 13 "just" "just"
"294" "08072021_result.TextGrid" 13 "aga" "aga"
"295" "08072021_result.TextGrid" 13 "õnneks" "õnneks"
"296" "08072021_result.TextGrid" 13 "läks" "läks"
"297" "08072021_result.TextGrid" 13 "kõik" "kõik"
"298" "08072021_result.TextGrid" 13 "väga" "väga"
"299" "08072021_result.TextGrid" 13 "hästi" "hästi"
"300" "08072021_result.TextGrid" 13 "sõidu" "sõidu"
"301" "08072021_result.TextGrid" 13 "ajal" "ajal"
"302" "08072021_result.TextGrid" 13 "ja" "ja"
"303" "08072021_result.TextGrid" 13 "ka" "ka"
"304" "08072021_result.TextGrid" 13 "pärast" "pärast"
"305" "08072021_result.TextGrid" 13 "pidu" "pidu"
"306" "08072021_result.TextGrid" 13 "oli" "oli"
"307" "08072021_result.TextGrid" 13 "väga" "väga"
"308" "08072021_result.TextGrid" 13 "kõva" "kõva"
"309" "08072021_result.TextGrid" 13 "mina" "mina"
"310" "08072021_result.TextGrid" 13 "tegin" "tegin"
"311" "08072021_result.TextGrid" 13 "enda" "enda"
"312" "08072021_result.TextGrid" 13 "dj" "dj"
"313" "08072021_result.TextGrid" 13 "debüüdi" "debüüdi"
"314" "08072021_result.TextGrid" 13 "ehk" "ehk"
"315" "08072021_result.TextGrid" 13 "ke" "####"
"316" "08072021_result.TextGrid" 13 "kes" "kes"
"317" "08072021_result.TextGrid" 13 "tahab" "tahab"
"318" "08072021_result.TextGrid" 13 "ma" "####"
"319" "08072021_result.TextGrid" 13 "siin" "sind"
"320" "08072021_result.TextGrid" 13 "lihtsalt" "lihtsalt"
"321" "08072021_result.TextGrid" 13 "shameless" "semle"
"322" "08072021_result.TextGrid" 13 "self" "selt"
"323" "08072021_result.TextGrid" 13 "promo" "promo"
"324" "08072021_result.TextGrid" 13 "sorry" "####"
"325" "08072021_result.TextGrid" 13 "ma" "sari"
"326" "08072021_result.TextGrid" 13 "ei" "majana"
"327" "08072021_result.TextGrid" 13 "anna" "teel"
"328" "08072021_result.TextGrid" 13 "teile" "eetri"
"329" "08072021_result.TextGrid" 13 "eetriaega" "ga"
"330" "08072021_result.TextGrid" 13 "kes" "kes"
"331" "08072021_result.TextGrid" 13 "tahab" "tahab"
"332" "08072021_result.TextGrid" 13 "mind" "mind"
"333" "08072021_result.TextGrid" 13 "kutsuda" "kutsuda"
"334" "08072021_result.TextGrid" 13 "mängima" "mängima"
"335" "08072021_result.TextGrid" 13 "muusikat" "muusikat"
"336" "08072021_result.TextGrid" 13 "siis" "siis"
"337" "08072021_result.TextGrid" 13 "nüüd" "nüüd"
"338" "08072021_result.TextGrid" 13 "ma" "ma"
"339" "08072021_result.TextGrid" 13 "mängin" "mängin"
"340" "08072021_result.TextGrid" 13 "ka" "ka"
"341" "08072021_result.TextGrid" 13 "muusikat" "muusikat"
"342" "08072021_result.TextGrid" 13 "ma" "####"
"343" "08072021_result.TextGrid" 13 "soovitan" "####"
"344" "08072021_result.TextGrid" 13 "helgi" "####"
"345" "08072021_result.TextGrid" 13 "tegi" "helsoovi"
"346" "08072021_result.TextGrid" 13 "ka" "ka"
"347" "08072021_result.TextGrid" 13 "ühe" "ühe"
"348" "08072021_result.TextGrid" 13 "transitioni" "transission"
"349" "08072021_result.TextGrid" 13 "ma" "ma"
"350" "08072021_result.TextGrid" 13 "tegin" "tegin"
"351" "08072021_result.TextGrid" 13 "ühe" "ühe"
"352" "08072021_result.TextGrid" 13 "transitioni" "transitioni"
"353" "08072021_result.TextGrid" 13 "ja" "ja"
"354" "08072021_result.TextGrid" 13 "see" "see"
"355" "08072021_result.TextGrid" 13 "oli" "oli"
"356" "08072021_result.TextGrid" 13 "mega" "mega"
"357" "08072021_result.TextGrid" 13 "jaa" "####"
"358" "08072021_result.TextGrid" 13 "ei" "####"
"359" "08072021_result.TextGrid" 13 "see" "####"
"360" "08072021_result.TextGrid" 13 "oli" "####"
"361" "08072021_result.TextGrid" 13 "vä" "####"
"362" "08072021_result.TextGrid" 13 "see" "####"
"363" "08072021_result.TextGrid" 13 "oli" "####"
"364" "08072021_result.TextGrid" 14 "päris" "päris"
"365" "08072021_result.TextGrid" 14 "see" "####"
"366" "08072021_result.TextGrid" 14 "oli" "####"
"367" "08072021_result.TextGrid" 14 "hea" "####"
"368" "08072021_result.TextGrid" 14 "see" "####"
"369" "08072021_result.TextGrid" 14 "oli" "####"
"370" "08072021_result.TextGrid" 14 "päris" "päris"
"371" "08072021_result.TextGrid" 14 "hea" "hea"
"372" "08072021_result.TextGrid" 14 "it" "####"
"373" "08072021_result.TextGrid" 14 "was" "####"
"374" "08072021_result.TextGrid" 14 "pure" "####"
"375" "08072021_result.TextGrid" 14 "luck" "####"
"376" "08072021_result.TextGrid" 15 "track" "track"
"377" "08072021_result.TextGrid" 15 "record" "####"
"378" "08072021_result.TextGrid" 15 "on" "####"
"379" "08072021_result.TextGrid" 15 "see" "####"
"380" "08072021_result.TextGrid" 15 "oli" "####"
"381" "08072021_result.TextGrid" 15 "puhas" "####"
"382" "08072021_result.TextGrid" 15 "puhas" "####"
"383" "08072021_result.TextGrid" 15 "õnn" "rekord"
"384" "08072021_result.TextGrid" 16 "track" "track"
"385" "08072021_result.TextGrid" 16 "record" "####"
"386" "08072021_result.TextGrid" 16 "on" "rekord"
"387" "08072021_result.TextGrid" 16 "sada" "sada"
"388" "08072021_result.TextGrid" 16 "prossa" "pross"
"389" "08072021_result.TextGrid" 16 "tuli" "tuli"
"390" "08072021_result.TextGrid" 16 "välja" "välja"
"391" "08072021_result.TextGrid" 16 "jep" "####"
"392" "08072021_result.TextGrid" 16 "niiet" "####"
"393" "08072021_result.TextGrid" 17 "all" "####"
"394" "08072021_result.TextGrid" 17 "good" "olgu"
"395" "08072021_result.TextGrid" 17 "jah" "jah"
"396" "08072021_result.TextGrid" 17 "aga" "aga"
"397" "08072021_result.TextGrid" 17 "täna" "täna"
"398" "08072021_result.TextGrid" 17 "me" "me"
"399" "08072021_result.TextGrid" 17 "mõtlesime" "mõtlesime"
"400" "08072021_result.TextGrid" 17 "millest" "millest"
"401" "08072021_result.TextGrid" 17 "rääkida" "rääkida"
"402" "08072021_result.TextGrid" 17 "ja" "ja"
"403" "08072021_result.TextGrid" 17 "teil" "teil"
"404" "08072021_result.TextGrid" 17 "tekkis" "tekkis"
"405" "08072021_result.TextGrid" 17 "soov" "soov"
"406" "08072021_result.TextGrid" 17 "rääkida" "rääkida"
"407" "08072021_result.TextGrid" 17 "sellest" "sellest"
"408" "08072021_result.TextGrid" 17 "kuidas" "kuidas"
"409" "08072021_result.TextGrid" 17 "meie" "meie"
"410" "08072021_result.TextGrid" 17 "siis" "siis"
"411" "08072021_result.TextGrid" 17 "igaüks" "igaüks"
"412" "08072021_result.TextGrid" 17 "saime" "saime"
"413" "08072021_result.TextGrid" 17 "aru" "aru"
"414" "08072021_result.TextGrid" 17 "et" "et"
"415" "08072021_result.TextGrid" 17 "eestis" "eestis"
"416" "08072021_result.TextGrid" 17 "või" "või"
"417" "08072021_result.TextGrid" 17 "üldse" "üldse"
"418" "08072021_result.TextGrid" 17 "maailmas" "maailmas"
"419" "08072021_result.TextGrid" 17 "eksisteerivad" "eksisteerivad"
"420" "08072021_result.TextGrid" 17 "homod" "homod"
"421" "08072021_result.TextGrid" 17 "ja" "ja"
"422" "08072021_result.TextGrid" 17 "lesbid" "lesbid"
"423" "08072021_result.TextGrid" 17 "ja" "ja"
"424" "08072021_result.TextGrid" 17 "bid" "bid"
"425" "08072021_result.TextGrid" 17 "ja" "ja"
"426" "08072021_result.TextGrid" 17 "transsoolised" "transsoolised"
"427" "08072021_result.TextGrid" 17 "inimesed" "inimesed"
"428" "08072021_result.TextGrid" 17 "ja" "ja"
"429" "08072021_result.TextGrid" 17 "kõik" "kõik"
"430" "08072021_result.TextGrid" 17 "et" "####"
"431" "08072021_result.TextGrid" 17 "kogu" "####"
"432" "08072021_result.TextGrid" 17 "intersoolised" "####"
"433" "08072021_result.TextGrid" 17 "aseksuaalsed" "####"
"434" "08072021_result.TextGrid" 18 "just" "just"
"435" "08072021_result.TextGrid" 18 "just" "just"
"436" "08072021_result.TextGrid" 18 "just" "just"
"437" "08072021_result.TextGrid" 18 "et" "et"
"438" "08072021_result.TextGrid" 18 "et" "et"
"439" "08072021_result.TextGrid" 18 "jah" "jah"
"440" "08072021_result.TextGrid" 18 "ma" "ma"
"441" "08072021_result.TextGrid" 18 "siis" "siis"
"442" "08072021_result.TextGrid" 18 "küsikski" "küsiks"
"443" "08072021_result.TextGrid" 18 "teilt" "teilt"
"444" "08072021_result.TextGrid" 18 "kõigepealt" "kõigepealt"
"445" "08072021_result.TextGrid" 18 "et" "et"
"446" "08072021_result.TextGrid" 18 "kuidas" "kuidas"
"447" "08072021_result.TextGrid" 18 "teie" "teie"
"448" "08072021_result.TextGrid" 18 "avastasite" "avastasite"
"449" "08072021_result.TextGrid" 18 "et" "et"
"450" "08072021_result.TextGrid" 18 "sellised" "sellised"
"451" "08072021_result.TextGrid" 18 "lgbt" "jelgabete"
"452" "08072021_result.TextGrid" 18 "+" "pluss"
"453" "08072021_result.TextGrid" 18 "inimesed" "inimesed"
"454" "08072021_result.TextGrid" 18 "eksisteerivad" "eksisteerivad"
"455" "08072021_result.TextGrid" 18 "üldse" "üldse"
"456" "08072021_result.TextGrid" 18 "kus" "kus"
"457" "08072021_result.TextGrid" 18 "te" "te"
"458" "08072021_result.TextGrid" 18 "esimest" "esimest"
"459" "08072021_result.TextGrid" 18 "korda" "korda"
"460" "08072021_result.TextGrid" 18 "kuulasite" "kuulasite"
"461" "08072021_result.TextGrid" 18 "see" "####"
"462" "08072021_result.TextGrid" 18 "on" "####"
"463" "08072021_result.TextGrid" 19 "mõte" "mõte"
"464" "08072021_result.TextGrid" 19 "mis" "mis"
"465" "08072021_result.TextGrid" 19 "mul" "mul"
"466" "08072021_result.TextGrid" 19 "mis" "mis"
"467" "08072021_result.TextGrid" 19 "mul" "mul"
"468" "08072021_result.TextGrid" 19 "se" "####"
"469" "08072021_result.TextGrid" 19 "sellega" "sellega"
"470" "08072021_result.TextGrid" 19 "alguse" "alguse"
"471" "08072021_result.TextGrid" 19 "sai" "sai"
"472" "08072021_result.TextGrid" 19 "või" "####"
"473" "08072021_result.TextGrid" 19 "kust" "kust"
"474" "08072021_result.TextGrid" 19 "see" "see"
"475" "08072021_result.TextGrid" 19 "üldse" "üldse"
"476" "08072021_result.TextGrid" 19 "tuli" "tuli"
"477" "08072021_result.TextGrid" 19 "oli" "oli"
"478" "08072021_result.TextGrid" 19 "ka" "ka"
"479" "08072021_result.TextGrid" 19 "see" "see"
"480" "08072021_result.TextGrid" 19 "et" "et"
"481" "08072021_result.TextGrid" 19 "et" "et"
"482" "08072021_result.TextGrid" 19 "kui" "kui"
"483" "08072021_result.TextGrid" 19 "me" "me"
"484" "08072021_result.TextGrid" 19 "räägime" "räägime"
"485" "08072021_result.TextGrid" 19 "esindatusest" "esindatusest"
