"f" "voor" "ref" "hyp"
"42" "07072022_result.TextGrid" 5 "nüüd" "nüüd"
"43" "07072022_result.TextGrid" 5 "kõik" "kõik"
"44" "07072022_result.TextGrid" 5 "tagasi" "tagasi"
"45" "07072022_result.TextGrid" 5 "back" "back"
"46" "07072022_result.TextGrid" 5 "to" "to"
"47" "07072022_result.TextGrid" 5 "hell" "hell"
"48" "07072022_result.TextGrid" 6 "ei" "ei"
"49" "07072022_result.TextGrid" 6 "ole" "ole"
"50" "07072022_result.TextGrid" 6 "jaa" "hea"
"51" "07072022_result.TextGrid" 6 "sest" "sest"
"52" "07072022_result.TextGrid" 6 "meil" "meil"
"53" "07072022_result.TextGrid" 6 "oli" "oli"
"54" "07072022_result.TextGrid" 6 "vahetult" "vahetult"
"55" "07072022_result.TextGrid" 6 "enne" "enne"
"56" "07072022_result.TextGrid" 6 "tartu" "tartu"
"57" "07072022_result.TextGrid" 6 "pride'i" "####"
"58" "07072022_result.TextGrid" 6 "oli" "####"
"59" "07072022_result.TextGrid" 6 "pidu" "####"
"60" "07072022_result.TextGrid" 6 "aa" "####"
"61" "07072022_result.TextGrid" 6 "jaa" "####"
"62" "07072022_result.TextGrid" 6 "oli" "####"
"63" "07072022_result.TextGrid" 6 "jaa" "####"
"64" "07072022_result.TextGrid" 7 "pidu" "pidu"
"65" "07072022_result.TextGrid" 7 "oli" "oli"
"66" "07072022_result.TextGrid" 7 "oli" "oli"
"67" "07072022_result.TextGrid" 7 "saade" "saade"
"68" "07072022_result.TextGrid" 8 "alati" "alati"
"69" "07072022_result.TextGrid" 8 "on" "on"
"70" "07072022_result.TextGrid" 8 "olnud" "olnud"
"71" "07072022_result.TextGrid" 8 "nagu" "nagu"
"72" "07072022_result.TextGrid" 8 "mingi" "mingi"
"73" "07072022_result.TextGrid" 8 "väike" "väike"
"74" "07072022_result.TextGrid" 8 "seltskond" "seltskond"
"75" "07072022_result.TextGrid" 8 "inimesi" "inimesi"
"76" "07072022_result.TextGrid" 8 "just" "####"
"77" "07072022_result.TextGrid" 8 "kes" "kes"
"78" "07072022_result.TextGrid" 8 "on" "on"
"79" "07072022_result.TextGrid" 8 "oma" "oma"
"80" "07072022_result.TextGrid" 8 "plakatitega" "plakatitega"
"81" "07072022_result.TextGrid" 8 "aga" "aga"
"82" "07072022_result.TextGrid" 8 "seekord" "seekord"
"83" "07072022_result.TextGrid" 8 "olid" "olid"
"84" "07072022_result.TextGrid" 8 "lihtsalt" "lihtsalt"
"85" "07072022_result.TextGrid" 9 "riia" "riia"
"86" "07072022_result.TextGrid" 9 "pride" "prid"
"87" "07072022_result.TextGrid" 9 "viimati" "viimati"
"88" "07072022_result.TextGrid" 9 "ma" "ma"
"89" "07072022_result.TextGrid" 9 "käisin" "käisin"
"90" "07072022_result.TextGrid" 9 "riial" "riia"
"91" "07072022_result.TextGrid" 9 "riias" "riia"
"92" "07072022_result.TextGrid" 9 "pride'il "bridil"
"93" "07072022_result.TextGrid" 9 "oli" "oli"
"94" "07072022_result.TextGrid" 9 "oli" "oli"
"95" "07072022_result.TextGrid" 9 "baltic" "baltic"
"96" "07072022_result.TextGrid" 9 "pride" "####"
"97" "07072022_result.TextGrid" 9 "mhmh" "prid"
"98" "07072022_result.TextGrid" 9 "ja" "ja"
"99" "07072022_result.TextGrid" 9 "siis" "siis"
"100" "07072022_result.TextGrid" 9 "oli" "oli"
"101" "07072022_result.TextGrid" 9 "nagu" "nagu"
"102" "07072022_result.TextGrid" 9 "mulle" "mulle"
"103" "07072022_result.TextGrid" 9 "tundub" "tundub"
"104" "07072022_result.TextGrid" 9 "et" "et"
"105" "07072022_result.TextGrid" 9 "kolm" "kolm"
"106" "07072022_result.TextGrid" 9 "korda" "korda"
"107" "07072022_result.TextGrid" 9 "rohkem" "rohkem"
"108" "07072022_result.TextGrid" 9 "inimesi" "inimesi"
"109" "07072022_result.TextGrid" 9 "aga" "aga"
"110" "07072022_result.TextGrid" 9 "aga" "aga"
"111" "07072022_result.TextGrid" 9 "inimesi" "inimesi"
"112" "07072022_result.TextGrid" 9 "oli" "oli"
"113" "07072022_result.TextGrid" 9 "seal" "seal"
"114" "07072022_result.TextGrid" 9 "oli" "oli"
"115" "07072022_result.TextGrid" 9 "väike" "väike"
"116" "07072022_result.TextGrid" 9 "ma" "ma"
"117" "07072022_result.TextGrid" 9 "ei" "ei"
"118" "07072022_result.TextGrid" 9 "ma" "ma"
"119" "07072022_result.TextGrid" 9 "lihtsalt" "list"
"120" "07072022_result.TextGrid" 9 "kujutan" "kujutan"
"121" "07072022_result.TextGrid" 9 "ette" "ette"
"122" "07072022_result.TextGrid" 9 "seda" "seda"
"123" "07072022_result.TextGrid" 9 "mhmh" "####"
"124" "07072022_result.TextGrid" 9 "endale" "endale"
"125" "07072022_result.TextGrid" 9 "aga" "aga"
"126" "07072022_result.TextGrid" 9 "seal" "seal"
"127" "07072022_result.TextGrid" 9 "oli" "oli"
"128" "07072022_result.TextGrid" 9 "väike" "väike"
"129" "07072022_result.TextGrid" 9 "võ" "####"
"130" "07072022_result.TextGrid" 9 "niiöelda" "niiöelda"
"131" "07072022_result.TextGrid" 9 "vastuprotest" "vastuprotesti"
"132" "07072022_result.TextGrid" 9 "keegi" "keegi"
"133" "07072022_result.TextGrid" 9 "oli" "oli"
"134" "07072022_result.TextGrid" 9 "seal" "seal"
"135" "07072022_result.TextGrid" 9 "et" "et"
"136" "07072022_result.TextGrid" 9 "mingi" "mingi"
"137" "07072022_result.TextGrid" 9 "sin" "sin"
"138" "07072022_result.TextGrid" 9 "will" "####"
"139" "07072022_result.TextGrid" 9 "break" "break"
"140" "07072022_result.TextGrid" 9 "you" "e"
"141" "07072022_result.TextGrid" 9 "down" "down"
"142" "07072022_result.TextGrid" 9 "või" "või"
"143" "07072022_result.TextGrid" 9 "midagi" "midagi"
"144" "07072022_result.TextGrid" 9 "sellist" "sellist"
"145" "07072022_result.TextGrid" 9 "okei" "####"
"146" "07072022_result.TextGrid" 9 "see" "####"
"147" "07072022_result.TextGrid" 9 "noh" "####"
"148" "07072022_result.TextGrid" 9 "on" "####"
"149" "07072022_result.TextGrid" 10 "täpselt" "täpselt"
"150" "07072022_result.TextGrid" 10 "et" "####"
"151" "07072022_result.TextGrid" 10 "it" "####"
"152" "07072022_result.TextGrid" 10 "already" "wad"
"153" "07072022_result.TextGrid" 10 "has" "has"
"154" "07072022_result.TextGrid" 10 "thank" "thank"
"155" "07072022_result.TextGrid" 10 "you" "you"
"156" "07072022_result.TextGrid" 10 "jah" "####"
"157" "07072022_result.TextGrid" 10 "mhmh" "####"
"158" "07072022_result.TextGrid" 10 "ja" "ja"
"159" "07072022_result.TextGrid" 10 "jah" "jah"
"160" "07072022_result.TextGrid" 10 "aga" "aga"
"161" "07072022_result.TextGrid" 10 "ei" "ei"
"162" "07072022_result.TextGrid" 10 "tore" "tore"
"163" "07072022_result.TextGrid" 10 "oli" "oli"
"164" "07072022_result.TextGrid" 11 "ma" "ma"
"165" "07072022_result.TextGrid" 11 "ei" "ei"
"166" "07072022_result.TextGrid" 11 "oska" "oska"
"167" "07072022_result.TextGrid" 11 "midagi" "midagi"
"168" "07072022_result.TextGrid" 11 "öelda" "öelda"
"169" "07072022_result.TextGrid" 11 "okei" "####"
"170" "07072022_result.TextGrid" 11 "rohkem" "rohkem"
"171" "07072022_result.TextGrid" 11 "ja" "ja"
"172" "07072022_result.TextGrid" 11 "nüüd" "nüüd"
"173" "07072022_result.TextGrid" 11 "helsingis" "helsingis"
"174" "07072022_result.TextGrid" 11 "oli" "oli"
"175" "07072022_result.TextGrid" 11 "ka" "ka"
"176" "07072022_result.TextGrid" 11 "pride" "####"
"177" "07072022_result.TextGrid" 11 "aa" "####"
"178" "07072022_result.TextGrid" 11 "jaa" "brid"
"179" "07072022_result.TextGrid" 11 "kuidas" "ja"
"180" "07072022_result.TextGrid" 11 "kuidas" "kuidas"
"181" "07072022_result.TextGrid" 11 "sa" "sa"
"182" "07072022_result.TextGrid" 11 "sinna" "sinna"
"183" "07072022_result.TextGrid" 11 "jõudsid" "jõudsid"
"184" "07072022_result.TextGrid" 12 "ma" "ma"
"185" "07072022_result.TextGrid" 12 "lihtsalt" "just"
"186" "07072022_result.TextGrid" 12 "läksin" "läksin"
"187" "07072022_result.TextGrid" 12 "otse" "otse"
"188" "07072022_result.TextGrid" 12 "peolt" "peolt"
"189" "07072022_result.TextGrid" 12 "läksin" "läksin"
"190" "07072022_result.TextGrid" 12 "laevale" "laevale"
"191" "07072022_result.TextGrid" 12 "sest" "sest"
"192" "07072022_result.TextGrid" 12 "ma" "ma"
"193" "07072022_result.TextGrid" 12 "lihtsalt" "just"
"194" "07072022_result.TextGrid" 12 "mõtlesin" "mõtlesin"
"195" "07072022_result.TextGrid" 12 "et" "et"
"196" "07072022_result.TextGrid" 12 "miks" "miks"
"197" "07072022_result.TextGrid" 12 "mitte" "mitte"
"198" "07072022_result.TextGrid" 12 "mhmh" "####"
"199" "07072022_result.TextGrid" 12 "ma" "ma"
"200" "07072022_result.TextGrid" 12 "jõudsin" "jõudsin"
"201" "07072022_result.TextGrid" 12 "õhtuks" "õhtuks"
"202" "07072022_result.TextGrid" 12 "kohale" "kohale"
"203" "07072022_result.TextGrid" 12 "niimoodi" "niimoodi"
"204" "07072022_result.TextGrid" 12 "et" "et"
"205" "07072022_result.TextGrid" 12 "kogu" "kogu"
"206" "07072022_result.TextGrid" 12 "see" "see"
"207" "07072022_result.TextGrid" 12 "praidi" "praidi"
"208" "07072022_result.TextGrid" 12 "programm" "programm"
"209" "07072022_result.TextGrid" 12 "oli" "oli"
"210" "07072022_result.TextGrid" 12 "põhimõtteliselt" "põhimõtteliselt"
"211" "07072022_result.TextGrid" 12 "läbi" "läbi"
"212" "07072022_result.TextGrid" 12 "et" "####"
"213" "07072022_result.TextGrid" 12 "kõik" "kõik"
"214" "07072022_result.TextGrid" 12 "olid" "olid"
"215" "07072022_result.TextGrid" 12 "ära" "ära"
"216" "07072022_result.TextGrid" 12 "marsitud" "marsitud"
"217" "07072022_result.TextGrid" 12 "kõik" "kõik"
"218" "07072022_result.TextGrid" 12 "kõik" "kõik"
"219" "07072022_result.TextGrid" 12 "laivid" "livid"
"220" "07072022_result.TextGrid" 12 "olid" "olid"
"221" "07072022_result.TextGrid" 12 "ära" "ära"
"222" "07072022_result.TextGrid" 12 "olnud" "olnud"
"223" "07072022_result.TextGrid" 12 "ja" "ja"
"224" "07072022_result.TextGrid" 12 "ja" "ja"
"225" "07072022_result.TextGrid" 12 "ainus" "ainus"
"226" "07072022_result.TextGrid" 12 "mis" "mis"
"227" "07072022_result.TextGrid" 12 "oli" "oli"
"228" "07072022_result.TextGrid" 12 "järel" "järel"
"229" "07072022_result.TextGrid" 12 "oli" "oli"
"230" "07072022_result.TextGrid" 12 "siis" "siis"
"231" "07072022_result.TextGrid" 12 "gei" "key"
"232" "07072022_result.TextGrid" 12 "saunas" "saunas"
"233" "07072022_result.TextGrid" 12 "või" "####"
"234" "07072022_result.TextGrid" 12 "hiv" "hiv"
"235" "07072022_result.TextGrid" 12 "kiirtestimine" "testimine"
"236" "07072022_result.TextGrid" 12 "selles" "see"
"237" "07072022_result.TextGrid" 12 "mõttes" "mõttes"
"238" "07072022_result.TextGrid" 12 "et" "####"
"239" "07072022_result.TextGrid" 12 "no" "####"
"240" "07072022_result.TextGrid" 12 "okei" "okei"
"241" "07072022_result.TextGrid" 12 "better" "####"
"242" "07072022_result.TextGrid" 12 "not" "####"
"243" "07072022_result.TextGrid" 13 "või" "või"
"244" "07072022_result.TextGrid" 13 "noh" "####"
"245" "07072022_result.TextGrid" 13 "võib" "####"
"246" "07072022_result.TextGrid" 14 "better" "####"
"247" "07072022_result.TextGrid" 14 "ma" "####"
"248" "07072022_result.TextGrid" 14 "ei" "####"
"249" "07072022_result.TextGrid" 14 "ma" "ma"
"250" "07072022_result.TextGrid" 14 "ei" "####"
"251" "07072022_result.TextGrid" 14 "ma" "ma"
"252" "07072022_result.TextGrid" 14 "ei" "ei"
"253" "07072022_result.TextGrid" 14 "hakka" "hakka"
"254" "07072022_result.TextGrid" 14 "minema" "minema"
"255" "07072022_result.TextGrid" 14 "sinna" "sinna"
"256" "07072022_result.TextGrid" 14 "okei" "####"
"257" "07072022_result.TextGrid" 14 "jaa" "ja"
"258" "07072022_result.TextGrid" 14 "ja" "ja"
"259" "07072022_result.TextGrid" 14 "siis" "siis"
"260" "07072022_result.TextGrid" 14 "kuidagi" "kuidagi"
"261" "07072022_result.TextGrid" 14 "jah" "jah"
"262" "07072022_result.TextGrid" 14 "leidsin" "leidsin"
"263" "07072022_result.TextGrid" 14 "mingid" "mingid"
"264" "07072022_result.TextGrid" 14 "inimesed" "inimesed"
"265" "07072022_result.TextGrid" 14 "jaurasin" "joorasin"
"266" "07072022_result.TextGrid" 14 "ja" "ja"
"267" "07072022_result.TextGrid" 14 "tore" "tore"
"268" "07072022_result.TextGrid" 14 "oli" "oli"
"269" "07072022_result.TextGrid" 14 "järgmine" "järgmine"
"270" "07072022_result.TextGrid" 14 "päev" "päev"
"271" "07072022_result.TextGrid" 14 "läksin" "läksin"
"272" "07072022_result.TextGrid" 14 "koju" "koju"
"273" "07072022_result.TextGrid" 14 "aga" "aga"
"274" "07072022_result.TextGrid" 14 "ma" "ma"
"275" "07072022_result.TextGrid" 14 "leidsin" "leidsin"
"276" "07072022_result.TextGrid" 14 "sihukese" "selguse"
"277" "07072022_result.TextGrid" 14 "koha" "koha"
"278" "07072022_result.TextGrid" 14 "sealt" "sealt"
"279" "07072022_result.TextGrid" 14 "nagu" "nagu"
"280" "07072022_result.TextGrid" 14 "kvääristö" "värista"
"281" "07072022_result.TextGrid" 14 "mis" "mis"
"282" "07072022_result.TextGrid" 14 "on" "on"
"283" "07072022_result.TextGrid" 14 "selline" "selline"
"284" "07072022_result.TextGrid" 14 "queer" "####"
"285" "07072022_result.TextGrid" 14 "trans" "####"
"286" "07072022_result.TextGrid" 14 "enby" "####"
"287" "07072022_result.TextGrid" 14 "space" "####"
"288" "07072022_result.TextGrid" 14 "mis" "####"
"289" "07072022_result.TextGrid" 14 "on" "####"
"290" "07072022_result.TextGrid" 14 "põhimõtteliselt" "####"
"291" "07072022_result.TextGrid" 14 "kohvik" "####"
"292" "07072022_result.TextGrid" 14 "seal" "####"
"293" "07072022_result.TextGrid" 14 "oli" "####"
"294" "07072022_result.TextGrid" 14 "drag" "####"
"295" "07072022_result.TextGrid" 14 "show" "####"
"296" "07072022_result.TextGrid" 14 "seal" "####"
"297" "07072022_result.TextGrid" 14 "oli" "que"
"298" "07072022_result.TextGrid" 14 "paar" "ran"
"299" "07072022_result.TextGrid" 14 "toredat" "spacee"
"300" "07072022_result.TextGrid" 15 "esinejat" "esinejad"
"301" "07072022_result.TextGrid" 15 "kelle" "kelle"
"302" "07072022_result.TextGrid" 15 "võiks" "võiks"
"303" "07072022_result.TextGrid" 15 "ka" "ka"
"304" "07072022_result.TextGrid" 15 "kutsuda" "kutsuda"
"305" "07072022_result.TextGrid" 15 "mingi" "mingi"
"306" "07072022_result.TextGrid" 15 "hetk" "hetk"
"307" "07072022_result.TextGrid" 15 "tallinnasse" "tallinnasse"
"308" "07072022_result.TextGrid" 16 "ja" "ja"
"309" "07072022_result.TextGrid" 16 "jaa" "ja"
"310" "07072022_result.TextGrid" 16 "et" "et"
"311" "07072022_result.TextGrid" 16 "ma" "ma"
"312" "07072022_result.TextGrid" 16 "arvan" "arvan"
"313" "07072022_result.TextGrid" 16 "et" "####"
"314" "07072022_result.TextGrid" 16 "see" "####"
"315" "07072022_result.TextGrid" 16 "see" "see"
"316" "07072022_result.TextGrid" 16 "mõnes" "mõnes"
"317" "07072022_result.TextGrid" 16 "mõttes" "mõttes"
"318" "07072022_result.TextGrid" 16 "ma" "ma"
"319" "07072022_result.TextGrid" 16 "arvan" "arvan"
"320" "07072022_result.TextGrid" 16 "et" "et"
"321" "07072022_result.TextGrid" 16 "sa" "sa"
"322" "07072022_result.TextGrid" 16 "peaksid" "peaksid"
"323" "07072022_result.TextGrid" 16 "sinna" "sinna"
"324" "07072022_result.TextGrid" 16 "anette" "ette"
"325" "07072022_result.TextGrid" 16 "minema" "minema"
"326" "07072022_result.TextGrid" 16 "sellepärast" "sellepärast"
"327" "07072022_result.TextGrid" 16 "et" "et"
"328" "07072022_result.TextGrid" 16 "see" "see"
"329" "07072022_result.TextGrid" 16 "see" "see"
"330" "07072022_result.TextGrid" 16 "tundub" "tundub"
"331" "07072022_result.TextGrid" 16 "olevat" "olevat"
"332" "07072022_result.TextGrid" 16 "nagu" "nagu"
"333" "07072022_result.TextGrid" 16 "sihukene" "niisugune"
"334" "07072022_result.TextGrid" 16 "sihuke" "segune"
"335" "07072022_result.TextGrid" 16 "dream" "dra"
"336" "07072022_result.TextGrid" 16 "kinda" "kino"
"337" "07072022_result.TextGrid" 16 "sober" "ber"
"338" "07072022_result.TextGrid" 16 "space" "space"
"339" "07072022_result.TextGrid" 16 "et" "et"
"340" "07072022_result.TextGrid" 16 "seal" "seal"
"341" "07072022_result.TextGrid" 16 "kindlasti" "kindlasti"
"342" "07072022_result.TextGrid" 16 "müüdi" "müüdi"
"343" "07072022_result.TextGrid" 16 "alkoholi" "alkoholi"
"344" "07072022_result.TextGrid" 16 "aga" "aga"
"345" "07072022_result.TextGrid" 16 "aga" "aga"
"346" "07072022_result.TextGrid" 16 "see" "see"
"347" "07072022_result.TextGrid" 16 "ei" "ei"
"348" "07072022_result.TextGrid" 16 "olnud" "olnud"
"349" "07072022_result.TextGrid" 16 "nagu" "nagu"
"350" "07072022_result.TextGrid" 16 "selle" "selle"
"351" "07072022_result.TextGrid" 16 "suunitlusega" "suunitlusega"
"352" "07072022_result.TextGrid" 16 "see" "see"
"353" "07072022_result.TextGrid" 16 "oli" "####"
"354" "07072022_result.TextGrid" 16 "lihtsalt" "####"
"355" "07072022_result.TextGrid" 16 "sihuke" "####"
"356" "07072022_result.TextGrid" 16 "open" "open"
"357" "07072022_result.TextGrid" 16 "mic" "maike"
"358" "07072022_result.TextGrid" 16 "ja" "ja"
"359" "07072022_result.TextGrid" 16 "tore" "tore"
"360" "07072022_result.TextGrid" 17 "ja" "ja"
"361" "07072022_result.TextGrid" 17 "põhimõtteliselt" "põhimõtteliselt"
"362" "07072022_result.TextGrid" 17 "ma" "ma"
"363" "07072022_result.TextGrid" 17 "ei" "ei"
"364" "07072022_result.TextGrid" 17 "tea" "tea"
"365" "07072022_result.TextGrid" 17 "ma" "ma"
"366" "07072022_result.TextGrid" 17 "võ" "võikski"
"367" "07072022_result.TextGrid" 17 "võikski" "võib"
"368" "07072022_result.TextGrid" 17 "võibolla" "olla"
"369" "07072022_result.TextGrid" 17 "natukene" "natukene"
"370" "07072022_result.TextGrid" 17 "rääkida" "rääkida"
"371" "07072022_result.TextGrid" 17 "üldse" "üldse"
"372" "07072022_result.TextGrid" 17 "bämmi" "bami"
"373" "07072022_result.TextGrid" 17 "ajaloost" "ajaloost"
"374" "07072022_result.TextGrid" 17 "ja" "ja"
"375" "07072022_result.TextGrid" 17 "ja" "ja"
"376" "07072022_result.TextGrid" 17 "ja" "ja"
"377" "07072022_result.TextGrid" 17 "sellest" "sellest"
"378" "07072022_result.TextGrid" 17 "et" "et"
"379" "07072022_result.TextGrid" 17 "sa" "sa"
"380" "07072022_result.TextGrid" 17 "oled" "oled"
"381" "07072022_result.TextGrid" 17 "ka" "ka"
"382" "07072022_result.TextGrid" 17 "natuke" "natuke"
"383" "07072022_result.TextGrid" 17 "vanem" "vanem"
"384" "07072022_result.TextGrid" 18 "nii" "nii"
"385" "07072022_result.TextGrid" 18 "et" "et"
"386" "07072022_result.TextGrid" 18 "sa" "sa"
"387" "07072022_result.TextGrid" 18 "tead" "tead"
"388" "07072022_result.TextGrid" 18 "võibolla" "võibolla"
"389" "07072022_result.TextGrid" 18 "aegu" "aegu"
"390" "07072022_result.TextGrid" 18 "ma" "####"
"391" "07072022_result.TextGrid" 18 "olen" "####"
"392" "07072022_result.TextGrid" 18 "vist" "####"
"393" "07072022_result.TextGrid" 18 "siin" "####"
"394" "07072022_result.TextGrid" 18 "kõige" "####"
"395" "07072022_result.TextGrid" 18 "vanem" "####"
"396" "07072022_result.TextGrid" 18 "pa" "####"
"397" "07072022_result.TextGrid" 19 "mõne" "mõne"
"398" "07072022_result.TextGrid" 19 "mõne" "mõne"
"399" "07072022_result.TextGrid" 19 "kuu" "kuu"
"400" "07072022_result.TextGrid" 19 "jooksul" "jooksul"
"401" "07072022_result.TextGrid" 19 "jah" "jah"
"402" "07072022_result.TextGrid" 19 "võime" "####"
"403" "07072022_result.TextGrid" 19 "vahetada" "####"
"404" "07072022_result.TextGrid" 19 "va" "####"
"405" "07072022_result.TextGrid" 19 "vahetada" "või"
"406" "07072022_result.TextGrid" 19 "vahetada" "vahetada"
"407" "07072022_result.TextGrid" 20 "ei" "ei"
"408" "07072022_result.TextGrid" 20 "mind" "mind"
"409" "07072022_result.TextGrid" 20 "ei" "ei"
"410" "07072022_result.TextGrid" 20 "olnud" "olnud"
"411" "07072022_result.TextGrid" 20 "seal" "seal"
"412" "07072022_result.TextGrid" 20 "ei" "####"
"413" "07072022_result.TextGrid" 20 "ei" "ei"
"414" "07072022_result.TextGrid" 20 "ma" "####"
"415" "07072022_result.TextGrid" 20 "ei" "ei"
"416" "07072022_result.TextGrid" 20 "ma" "ma"
"417" "07072022_result.TextGrid" 20 "isegi" "isegi"
"418" "07072022_result.TextGrid" 20 "ei" "ei"
"419" "07072022_result.TextGrid" 20 "tundnud" "tundnud"
"420" "07072022_result.TextGrid" 20 "teid" "teid"
"421" "07072022_result.TextGrid" 20 "ma" "ma"
"422" "07072022_result.TextGrid" 20 "lihtsalt" "lihtsalt"
"423" "07072022_result.TextGrid" 20 "teadsin" "teadsin"
"424" "07072022_result.TextGrid" 20 "teid" "teid"
"425" "07072022_result.TextGrid" 20 "kuskilt" "kuskilt"
"426" "07072022_result.TextGrid" 20 "kaugusest" "kaugusest"
"427" "07072022_result.TextGrid" 20 "aga" "aga"
"428" "07072022_result.TextGrid" 20 "ma" "ma"
"429" "07072022_result.TextGrid" 20 "ei" "ei"
"430" "07072022_result.TextGrid" 20 "me" "me"
"431" "07072022_result.TextGrid" 20 "ei" "ei"
"432" "07072022_result.TextGrid" 20 "olnud" "####"
"433" "07072022_result.TextGrid" 20 "tuttavad" "####"
"434" "07072022_result.TextGrid" 20 "siis" "####"
"435" "07072022_result.TextGrid" 20 "see" "####"
"436" "07072022_result.TextGrid" 20 "oli" "####"
"437" "07072022_result.TextGrid" 20 "mega" "olnu"
"438" "07072022_result.TextGrid" 20 "ammu" "tud"
"439" "07072022_result.TextGrid" 21 "a" "aga"
"440" "07072022_result.TextGrid" 21 "milline" "milline"
"441" "07072022_result.TextGrid" 21 "see" "see"
"442" "07072022_result.TextGrid" 21 "maastik" "maastik"
"443" "07072022_result.TextGrid" 21 "üldse" "üldse"
"444" "07072022_result.TextGrid" 21 "niiöelda" "niiöelda"
"445" "07072022_result.TextGrid" 21 "šnapsi" "snapsi"
"446" "07072022_result.TextGrid" 21 "ajal" "ajal"
"447" "07072022_result.TextGrid" 21 "nagu" "nagu"
"448" "07072022_result.TextGrid" 21 "oli" "oli"
"449" "07072022_result.TextGrid" 21 "et" "et"
"450" "07072022_result.TextGrid" 21 "mis" "mis"
"451" "07072022_result.TextGrid" 21 "mis" "mis"
"452" "07072022_result.TextGrid" 21 "klubides" "klubides"
"453" "07072022_result.TextGrid" 21 "toimus" "toimus"
"454" "07072022_result.TextGrid" 21 "oli" "oli"
"455" "07072022_result.TextGrid" 21 "oli" "oli"
"456" "07072022_result.TextGrid" 21 "üldse" "üldse"
"457" "07072022_result.TextGrid" 21 "midagi" "midagi"
"458" "07072022_result.TextGrid" 21 "huvitavat" "huvitavat"
"459" "07072022_result.TextGrid" 22 "a" "####"
"460" "07072022_result.TextGrid" 22 "a" "aga"
"461" "07072022_result.TextGrid" 22 "millal" "millal"
"462" "07072022_result.TextGrid" 22 "sa" "sa"
"463" "07072022_result.TextGrid" 22 "üldse" "üldse"
"464" "07072022_result.TextGrid" 22 "hakkasid" "hakkasid"
"465" "07072022_result.TextGrid" 22 "pidusid" "pidusid"
"466" "07072022_result.TextGrid" 22 "korraldama" "korraldama"
"467" "07072022_result.TextGrid" 22 "sest" "sest"
"468" "07072022_result.TextGrid" 22 "et" "et"
"469" "07072022_result.TextGrid" 22 "sa" "sa"
"470" "07072022_result.TextGrid" 22 "oled" "oled"
"471" "07072022_result.TextGrid" 22 "selles" "selles"
"472" "07072022_result.TextGrid" 22 "mõttes" "mõttes"
"473" "07072022_result.TextGrid" 22 "nagu" "nagu"
"474" "07072022_result.TextGrid" 22 "multitalent" "multitalent"
"475" "07072022_result.TextGrid" 22 "et" "et"
"476" "07072022_result.TextGrid" 22 "tantsija" "tantsija"
"477" "07072022_result.TextGrid" 22 "koreograaf" "koreograaf"
"478" "07072022_result.TextGrid" 22 "artist" "artist"
"479" "07072022_result.TextGrid" 22 "et" "et"
"480" "07072022_result.TextGrid" 22 "sul" "sul"
"481" "07072022_result.TextGrid" 22 "on" "on"
"482" "07072022_result.TextGrid" 22 "nagu" "nagu"
"483" "07072022_result.TextGrid" 22 "you" "####"
