"f" "voor" "ref" "hyp"
"94" "ajalooeri_result.TextGrid" 9 "ja" "ja"
"95" "ajalooeri_result.TextGrid" 9 "seksikas" "seksikas"
"96" "ajalooeri_result.TextGrid" 9 "gei" "gei"
"97" "ajalooeri_result.TextGrid" 9 "kes" "kes"
"98" "ajalooeri_result.TextGrid" 9 "põlgab" "põlgab"
"99" "ajalooeri_result.TextGrid" 9 "anaalset" "anaalset"
"100" "ajalooeri_result.TextGrid" 9 "vahekorda" "vahekorda"
"101" "ajalooeri_result.TextGrid" 9 "võid" "võid"
"102" "ajalooeri_result.TextGrid" 9 "leida" "leida"
"103" "ajalooeri_result.TextGrid" 9 "toreda" "toreda"
"104" "ajalooeri_result.TextGrid" 9 "sõbra" "sõbra"
"105" "ajalooeri_result.TextGrid" 9 "kui" "kui"
"106" "ajalooeri_result.TextGrid" 9 "kirjutad" "kirjutad"
"107" "ajalooeri_result.TextGrid" 9 "mulle" "mulle"
"108" "ajalooeri_result.TextGrid" 10 "äkki" "äkki"
"109" "ajalooeri_result.TextGrid" 10 "okei" "okei"
"110" "ajalooeri_result.TextGrid" 10 "nii" "####"
"111" "ajalooeri_result.TextGrid" 10 "taavi" "####"
"112" "ajalooeri_result.TextGrid" 10 "siin" "siin"
"113" "ajalooeri_result.TextGrid" 10 "siin" "siin"
"114" "ajalooeri_result.TextGrid" 10 "on" "on"
"115" "ajalooeri_result.TextGrid" 10 "vandenõuteooriad" "####"
"116" "ajalooeri_result.TextGrid" 10 "vandenõuteooriad" "vandenõuteooriad"
"117" "ajalooeri_result.TextGrid" 10 "taavi" "####"
"118" "ajalooeri_result.TextGrid" 11 "äkki" "äkki"
"119" "ajalooeri_result.TextGrid" 11 "see" "see"
"120" "ajalooeri_result.TextGrid" 11 "on" "on"
"121" "ajalooeri_result.TextGrid" 11 "gei" "gei"
"122" "ajalooeri_result.TextGrid" 11 "mees" "mees"
"123" "ajalooeri_result.TextGrid" 11 "kes" "kes"
"124" "ajalooeri_result.TextGrid" 11 "otsib" "otsib"
"125" "ajalooeri_result.TextGrid" 11 "endale" "endale"
"126" "ajalooeri_result.TextGrid" 11 "seda" "seda"
"127" "ajalooeri_result.TextGrid" 11 "beardi" "birdi"
"128" "ajalooeri_result.TextGrid" 11 "või" "või"
"129" "ajalooeri_result.TextGrid" 11 "habet" "habe"
"130" "ajalooeri_result.TextGrid" 12 "nunnud" "nunnud"
"131" "ajalooeri_result.TextGrid" 12 "ja" "paul"
"132" "ajalooeri_result.TextGrid" 12 "aga" "jaa"
"133" "ajalooeri_result.TextGrid" 12 "väga" "aga"
"134" "ajalooeri_result.TextGrid" 12 "huvitav" "väga"
"135" "ajalooeri_result.TextGrid" 12 "oli" "huvitav"
"136" "ajalooeri_result.TextGrid" 12 "kuulda" "oli"
"137" "ajalooeri_result.TextGrid" 12 "sellest" "kuulda"
"138" "ajalooeri_result.TextGrid" 12 "sest" "sellest"
"139" "ajalooeri_result.TextGrid" 12 "nagu" "sest"
"140" "ajalooeri_result.TextGrid" 12 "kui" "nagu"
"141" "ajalooeri_result.TextGrid" 12 "aus" "kui"
"142" "ajalooeri_result.TextGrid" 12 "olla" "aus"
"143" "ajalooeri_result.TextGrid" 12 "siis" "olla"
"144" "ajalooeri_result.TextGrid" 12 "noh" "siis"
"145" "ajalooeri_result.TextGrid" 12 "lgbt" "noh"
"146" "ajalooeri_result.TextGrid" 12 "####" "elgebet"
"147" "ajalooeri_result.TextGrid" 12 "ajalugu" "ajalugu"
"148" "ajalooeri_result.TextGrid" 12 "mis" "on"
"149" "ajalooeri_result.TextGrid" 12 "mul" "mis"
"150" "ajalooeri_result.TextGrid" 12 "midagi" "mul"
"151" "ajalooeri_result.TextGrid" 12 "mis" "midagi"
"152" "ajalooeri_result.TextGrid" 12 "mulle" "mis"
"153" "ajalooeri_result.TextGrid" 12 "väga" "mulle"
"154" "ajalooeri_result.TextGrid" 12 "huvi" "väga"
"155" "ajalooeri_result.TextGrid" 12 "pakub" "huvi"
"156" "ajalooeri_result.TextGrid" 12 "aga" "pakub"
"157" "ajalooeri_result.TextGrid" 12 "eestis" "aga"
"158" "ajalooeri_result.TextGrid" 12 "ma" "eestis"
"159" "ajalooeri_result.TextGrid" 12 "väga" "ma"
"160" "ajalooeri_result.TextGrid" 12 "ei" "väga"
"161" "ajalooeri_result.TextGrid" 12 "tea" "ei"
"162" "ajalooeri_result.TextGrid" 12 "sellest" "tea"
"163" "ajalooeri_result.TextGrid" 12 "palju" "sellest"
"164" "ajalooeri_result.TextGrid" 12 "no" "palju"
"165" "ajalooeri_result.TextGrid" 12 "natukene" "no"
"166" "ajalooeri_result.TextGrid" 12 "üheksakümnendad" "natukene"
"167" "ajalooeri_result.TextGrid" 13 "ja" "ja"
"168" "ajalooeri_result.TextGrid" 13 "siis" "siis"
"169" "ajalooeri_result.TextGrid" 13 "pärast" "pärast"
"170" "ajalooeri_result.TextGrid" 13 "mhmh" "####"
"171" "ajalooeri_result.TextGrid" 13 "taavi" "####"
"172" "ajalooeri_result.TextGrid" 13 "aga" "aga"
"173" "ajalooeri_result.TextGrid" 13 "aga" "aga"
"174" "ajalooeri_result.TextGrid" 13 "ennem" "ennem"
"175" "ajalooeri_result.TextGrid" 13 "seda" "seda"
"176" "ajalooeri_result.TextGrid" 13 "aega" "aega"
"177" "ajalooeri_result.TextGrid" 13 "on" "on"
"178" "ajalooeri_result.TextGrid" 13 "nagu" "nagu"
"179" "ajalooeri_result.TextGrid" 13 "täielik" "täielik"
"180" "ajalooeri_result.TextGrid" 13 "peaaegu" "peaaegu"
"181" "ajalooeri_result.TextGrid" 13 "tühjus" "tühjus"
"182" "ajalooeri_result.TextGrid" 13 "mhmh" "####"
"183" "ajalooeri_result.TextGrid" 13 "taavi" "####"
"184" "ajalooeri_result.TextGrid" 13 "et" "et"
"185" "ajalooeri_result.TextGrid" 13 "nagu" "aga"
"186" "ajalooeri_result.TextGrid" 13 "mis" "mis"
"187" "ajalooeri_result.TextGrid" 13 "juhtunud" "juhtunud"
"188" "ajalooeri_result.TextGrid" 13 "on" "on"
"189" "ajalooeri_result.TextGrid" 13 "kas" "kas"
"190" "ajalooeri_result.TextGrid" 13 "midagi" "midagi"
"191" "ajalooeri_result.TextGrid" 13 "oli" "oli"
"192" "ajalooeri_result.TextGrid" 13 "et" "et"
"193" "ajalooeri_result.TextGrid" 13 "vägaväga" "vägaväga"
"194" "ajalooeri_result.TextGrid" 13 "tore" "tore"
"195" "ajalooeri_result.TextGrid" 13 "oli" "oli"
"196" "ajalooeri_result.TextGrid" 13 "et" "et"
"197" "ajalooeri_result.TextGrid" 13 "sa" "sa"
"198" "ajalooeri_result.TextGrid" 13 "tulid" "tulid"
"199" "ajalooeri_result.TextGrid" 13 "meiega" "meiega"
"200" "ajalooeri_result.TextGrid" 13 "rääkima" "rääkima"
"201" "ajalooeri_result.TextGrid" 13 "jagasid" "jagasid"
"202" "ajalooeri_result.TextGrid" 13 "meiega" "meiega"
"203" "ajalooeri_result.TextGrid" 13 "neid" "neid"
"204" "ajalooeri_result.TextGrid" 13 "lugusid" "lugusid"
"205" "ajalooeri_result.TextGrid" 13 "jah" "####"
"206" "ajalooeri_result.TextGrid" 13 "jaa" "####"
"207" "ajalooeri_result.TextGrid" 14 "jah" "jah"
"208" "ajalooeri_result.TextGrid" 14 "ennem" "enne"
"209" "ajalooeri_result.TextGrid" 14 "kui" "kui"
"210" "ajalooeri_result.TextGrid" 14 "me" "me"
"211" "ajalooeri_result.TextGrid" 14 "lõpetame" "lõpetame"
"212" "ajalooeri_result.TextGrid" 14 "ma" "ma"
"213" "ajalooeri_result.TextGrid" 14 "tahan" "tahan"
"214" "ajalooeri_result.TextGrid" 14 "anda" "anda"
"215" "ajalooeri_result.TextGrid" 14 "suured" "suured"
"216" "ajalooeri_result.TextGrid" 14 "tänusõnad" "tänusõnad"
"217" "ajalooeri_result.TextGrid" 14 "meie" "meie"
"218" "ajalooeri_result.TextGrid" 14 "patroonidele" "patroonidele"
"219" "ajalooeri_result.TextGrid" 14 "kes" "kes"
"220" "ajalooeri_result.TextGrid" 14 "on" "on"
"221" "ajalooeri_result.TextGrid" 14 "andra" "andre"
"222" "ajalooeri_result.TextGrid" 14 "anette" "anette"
"223" "ajalooeri_result.TextGrid" 14 "belladonna" "bellatonna"
"224" "ajalooeri_result.TextGrid" 14 "elina" "elina"
"225" "ajalooeri_result.TextGrid" 14 "hebo" "hebo"
"226" "ajalooeri_result.TextGrid" 14 "laura" "laura"
"227" "ajalooeri_result.TextGrid" 14 "p" "####"
"228" "ajalooeri_result.TextGrid" 14 "kass" "kass"
"229" "ajalooeri_result.TextGrid" 14 "laura" "laura"
"230" "ajalooeri_result.TextGrid" 14 "v" "vee"
"231" "ajalooeri_result.TextGrid" 14 "sara" "sara"
"232" "ajalooeri_result.TextGrid" 14 "a" "####"
"233" "ajalooeri_result.TextGrid" 14 "orav" "orav"
"234" "ajalooeri_result.TextGrid" 14 "triin" "triin"
"235" "ajalooeri_result.TextGrid" 14 "ja" "ja"
"236" "ajalooeri_result.TextGrid" 14 "teine" "teine"
"237" "ajalooeri_result.TextGrid" 14 "triin" "triin"
"238" "ajalooeri_result.TextGrid" 15 "aitäh" "aitäh"
"239" "ajalooeri_result.TextGrid" 15 "teile" "teile"
"240" "ajalooeri_result.TextGrid" 15 "ja" "ja"
"241" "ajalooeri_result.TextGrid" 15 "head" "head"
"242" "ajalooeri_result.TextGrid" 15 "pridei" "pridi"
"243" "ajalooeri_result.TextGrid" 16 "tere" "tere"
"244" "ajalooeri_result.TextGrid" 16 "tulemast" "tulemast"
"245" "ajalooeri_result.TextGrid" 16 "lillasse" "lillasse"
"246" "ajalooeri_result.TextGrid" 16 "agendasse" "agendasse"
"247" "ajalooeri_result.TextGrid" 16 "see" "see"
"248" "ajalooeri_result.TextGrid" 16 "on" "on"
"249" "ajalooeri_result.TextGrid" 16 "podcast" "potkest"
"250" "ajalooeri_result.TextGrid" 16 "mis" "mis"
"251" "ajalooeri_result.TextGrid" 16 "räägib" "räägib"
"252" "ajalooeri_result.TextGrid" 16 "lgbt" "lgbt"
"253" "ajalooeri_result.TextGrid" 16 "+" "pluss"
"254" "ajalooeri_result.TextGrid" 16 "sõnasupist" "sõnasupist"
"255" "ajalooeri_result.TextGrid" 16 "ja" "ja"
"256" "ajalooeri_result.TextGrid" 16 "queer" "quer"
"257" "ajalooeri_result.TextGrid" 16 "elust" "elust"
"258" "ajalooeri_result.TextGrid" 16 "eestis" "eestis"
"259" "ajalooeri_result.TextGrid" 17 "aga" "aga"
"260" "ajalooeri_result.TextGrid" 17 "kõigepealt" "kõigepealt"
"261" "ajalooeri_result.TextGrid" 17 "ütleme" "ütleme"
"262" "ajalooeri_result.TextGrid" 17 "tere" "tere"
"263" "ajalooeri_result.TextGrid" 17 "taavile" "taavile"
"264" "ajalooeri_result.TextGrid" 17 "tere" "####"
"265" "ajalooeri_result.TextGrid" 17 "taavi" "####"
"266" "ajalooeri_result.TextGrid" 18 "oh" "oh"
"267" "ajalooeri_result.TextGrid" 18 "vau" "vau"
"268" "ajalooeri_result.TextGrid" 18 "see" "see"
"269" "ajalooeri_result.TextGrid" 18 "on" "on"
"270" "ajalooeri_result.TextGrid" 18 "siis" "siis"
"271" "ajalooeri_result.TextGrid" 18 "juba" "juba"
"272" "ajalooeri_result.TextGrid" 18 "nagu" "nagu"
"273" "ajalooeri_result.TextGrid" 18 "kolmkümmend" "kolmkümmend"
"274" "ajalooeri_result.TextGrid" 18 "aastat" "aastat"
"275" "ajalooeri_result.TextGrid" 18 "tagasi" "tagas"
"276" "ajalooeri_result.TextGrid" 19 "jaa" "ja"
"277" "ajalooeri_result.TextGrid" 19 "taheti" "taheti"
"278" "ajalooeri_result.TextGrid" 19 "juba" "juba"
"279" "ajalooeri_result.TextGrid" 19 "hakata" "hakata"
"280" "ajalooeri_result.TextGrid" 19 "uurima" "uurima"
"281" "ajalooeri_result.TextGrid" 19 "seda" "seda"
"282" "ajalooeri_result.TextGrid" 19 "jaa" "####"
"283" "ajalooeri_result.TextGrid" 19 "või" "####"
"284" "ajalooeri_result.TextGrid" 19 "taavi" "####"
"285" "ajalooeri_result.TextGrid" 19 "kahekümnendaid" "kahekümnendaid"
"286" "ajalooeri_result.TextGrid" 19 "kolmekümnendaid" "kolmekümnendaid"
"287" "ajalooeri_result.TextGrid" 19 "millest" "millest"
"288" "ajalooeri_result.TextGrid" 19 "me" "me"
"289" "ajalooeri_result.TextGrid" 19 "just" "just"
"290" "ajalooeri_result.TextGrid" 19 "rääkisime" "rääkisime"
"291" "ajalooeri_result.TextGrid" 20 "ainult" "####"
"292" "ajalooeri_result.TextGrid" 20 "nuputasid" "####"
"293" "ajalooeri_result.TextGrid" 20 "ainult" "####"
"294" "ajalooeri_result.TextGrid" 20 "nuputasid" "####"
"295" "ajalooeri_result.TextGrid" 20 "ainult" "####"
"296" "ajalooeri_result.TextGrid" 20 "nuputasid" "####"
"297" "ajalooeri_result.TextGrid" 20 "ainult" "ainult"
"298" "ajalooeri_result.TextGrid" 20 "nuputasid" "####"
"299" "ajalooeri_result.TextGrid" 20 "taavi" "nuputasin"
"300" "ajalooeri_result.TextGrid" 21 "aga" "aga"
"301" "ajalooeri_result.TextGrid" 21 "see" "see"
"302" "ajalooeri_result.TextGrid" 21 "on" "on"
"303" "ajalooeri_result.TextGrid" 21 "nii" "nii"
"304" "ajalooeri_result.TextGrid" 21 "huvitav" "huvitav"
"305" "ajalooeri_result.TextGrid" 21 "tõesti" "tõesti"
"306" "ajalooeri_result.TextGrid" 21 "et" "####"
"307" "ajalooeri_result.TextGrid" 21 "noorematele" "noorematele"
"308" "ajalooeri_result.TextGrid" 21 "kes" "kes"
"309" "ajalooeri_result.TextGrid" 21 "kuulavad" "kuulavad"
"310" "ajalooeri_result.TextGrid" 21 "ka" "ka"
"311" "ajalooeri_result.TextGrid" 21 "et" "et"
"312" "ajalooeri_result.TextGrid" 21 "tõesti" "tõesti"
"313" "ajalooeri_result.TextGrid" 21 "tollel" "tollel"
"314" "ajalooeri_result.TextGrid" 21 "ajal" "ajal"
"315" "ajalooeri_result.TextGrid" 21 "miks" "miks"
"316" "ajalooeri_result.TextGrid" 21 "kirjutatigi" "kirjutatigi"
"317" "ajalooeri_result.TextGrid" 21 "ajalehtedes" "ajalehtedes"
"318" "ajalooeri_result.TextGrid" 21 "kuulutusi" "kuulutusi"
"319" "ajalooeri_result.TextGrid" 21 "et" "####"
"320" "ajalooeri_result.TextGrid" 22 "grindrit" "####"
"321" "ajalooeri_result.TextGrid" 22 "ja" "ja"
"322" "ajalooeri_result.TextGrid" 22 "tinderit" "####"
"323" "ajalooeri_result.TextGrid" 22 "ei" "####"
"324" "ajalooeri_result.TextGrid" 22 "olnud" "####"
"325" "ajalooeri_result.TextGrid" 22 "taavi" "####"
"326" "ajalooeri_result.TextGrid" 22 "jah" "####"
"327" "ajalooeri_result.TextGrid" 22 "internetti" "internet"
"328" "ajalooeri_result.TextGrid" 22 "ei" "ei"
"329" "ajalooeri_result.TextGrid" 22 "olnud" "olnud"
"330" "ajalooeri_result.TextGrid" 22 "just" "just"
"331" "ajalooeri_result.TextGrid" 22 "et" "et"
"332" "ajalooeri_result.TextGrid" 22 "pidi" "pidi"
"333" "ajalooeri_result.TextGrid" 22 "kirju" "kirju"
"334" "ajalooeri_result.TextGrid" 22 "kirjutama" "kirjutama"
"335" "ajalooeri_result.TextGrid" 22 "jaa" "####"
"336" "ajalooeri_result.TextGrid" 22 "taavi" "ja"
"337" "ajalooeri_result.TextGrid" 22 "helistama" "helistama"
"338" "ajalooeri_result.TextGrid" 22 "lauatelefonile" "lauatelefonile"
"339" "ajalooeri_result.TextGrid" 22 "jaa" "####"
"340" "ajalooeri_result.TextGrid" 22 "taavi" "####"
"341" "ajalooeri_result.TextGrid" 22 "või" "või"
"342" "ajalooeri_result.TextGrid" 22 "telefoniaparaadist" "telefoniaparaadile"
"343" "ajalooeri_result.TextGrid" 23 "aga" "aga"
"344" "ajalooeri_result.TextGrid" 23 "ei" "ei"
"345" "ajalooeri_result.TextGrid" 23 "taavi" "####"
"346" "ajalooeri_result.TextGrid" 23 "neil" "meil"
"347" "ajalooeri_result.TextGrid" 23 "on" "on"
"348" "ajalooeri_result.TextGrid" 23 "nii" "nii"
"349" "ajalooeri_result.TextGrid" 23 "palju" "palju"
"350" "ajalooeri_result.TextGrid" 23 "häid" "häid"
"351" "ajalooeri_result.TextGrid" 23 "ideid" "ideid"
"352" "ajalooeri_result.TextGrid" 24 "ma" "ma"
"353" "ajalooeri_result.TextGrid" 24 "siin" "siin"
"354" "ajalooeri_result.TextGrid" 24 "täpsustan" "täpsustan"
"355" "ajalooeri_result.TextGrid" 24 "et" "et"
"356" "ajalooeri_result.TextGrid" 24 "see" "see"
"357" "ajalooeri_result.TextGrid" 24 "on" "on"
"358" "ajalooeri_result.TextGrid" 24 "tsitaat" "tsitaat"
"359" "ajalooeri_result.TextGrid" 24 "et" "et"
"360" "ajalooeri_result.TextGrid" 24 "isasega" "####"
"361" "ajalooeri_result.TextGrid" 24 "ta" "####"
"362" "ajalooeri_result.TextGrid" 24 "kirjutas" "####"
"363" "ajalooeri_result.TextGrid" 24 "taavi" "####"
"364" "ajalooeri_result.TextGrid" 24 "jaa" "####"
"365" "ajalooeri_result.TextGrid" 24 "ma" "####"
"366" "ajalooeri_result.TextGrid" 24 "sain" "isa"
"367" "ajalooeri_result.TextGrid" 24 "ma" "segada"
"368" "ajalooeri_result.TextGrid" 25 "sain" "sain"
"369" "ajalooeri_result.TextGrid" 25 "aru" "aru"
"370" "ajalooeri_result.TextGrid" 25 "ma" "####"
"371" "ajalooeri_result.TextGrid" 25 "ei" "####"
"372" "ajalooeri_result.TextGrid" 25 "ma" "ma"
"373" "ajalooeri_result.TextGrid" 25 "ei" "ei"
"374" "ajalooeri_result.TextGrid" 25 "mõelnud" "mõelnud"
"375" "ajalooeri_result.TextGrid" 25 "nii" "nii"
"376" "ajalooeri_result.TextGrid" 25 "et" "####"
"377" "ajalooeri_result.TextGrid" 25 "sa" "####"
"378" "ajalooeri_result.TextGrid" 25 "niimoodi" "####"
"379" "ajalooeri_result.TextGrid" 25 "ise" "ise"
"380" "ajalooeri_result.TextGrid" 25 "paneksid" "paneksid"
"381" "ajalooeri_result.TextGrid" 25 "kirja" "kirja"
"382" "ajalooeri_result.TextGrid" 25 "okei" "okei"
"383" "ajalooeri_result.TextGrid" 25 "taavi" "####"
"384" "ajalooeri_result.TextGrid" 25 "väga" "####"
"385" "ajalooeri_result.TextGrid" 25 "huvitavad" "huvitavad"
"386" "ajalooeri_result.TextGrid" 25 "sõnad" "sõnad"
"387" "ajalooeri_result.TextGrid" 25 "ja" "ja"
"388" "ajalooeri_result.TextGrid" 25 "mõisted" "mõisted"
"389" "ajalooeri_result.TextGrid" 25 "on" "on"
"390" "ajalooeri_result.TextGrid" 25 "siin" "####"
"391" "ajalooeri_result.TextGrid" 25 "jaa" "####"
"392" "ajalooeri_result.TextGrid" 26 "ja" "ja"
"393" "ajalooeri_result.TextGrid" 26 "noh" "noh"
"394" "ajalooeri_result.TextGrid" 26 "see" "see"
"395" "ajalooeri_result.TextGrid" 26 "oli" "oli"
"396" "ajalooeri_result.TextGrid" 26 "ka" "ka"
"397" "ajalooeri_result.TextGrid" 26 "see" "see"
"398" "ajalooeri_result.TextGrid" 26 "nii" "nii"
"399" "ajalooeri_result.TextGrid" 26 "keeruline" "keeruline"
"400" "ajalooeri_result.TextGrid" 26 "aeg" "aeg"
"401" "ajalooeri_result.TextGrid" 26 "et" "et"
"402" "ajalooeri_result.TextGrid" 26 "see" "see"
"403" "ajalooeri_result.TextGrid" 26 "oli" "oli"
"404" "ajalooeri_result.TextGrid" 26 "see" "see"
"405" "ajalooeri_result.TextGrid" 26 "väga" "väga"
"406" "ajalooeri_result.TextGrid" 26 "majanduslikult" "majanduslik"
"407" "ajalooeri_result.TextGrid" 26 "raske" "raske"
"408" "ajalooeri_result.TextGrid" 26 "periood" "####"
"409" "ajalooeri_result.TextGrid" 26 "jaa" "####"
"410" "ajalooeri_result.TextGrid" 26 "jaa" "####"
"411" "ajalooeri_result.TextGrid" 26 "jaa" "####"
"412" "ajalooeri_result.TextGrid" 26 "taavi" "####"
"413" "ajalooeri_result.TextGrid" 26 "mhmh" "rion"
"414" "ajalooeri_result.TextGrid" 26 "mis" "mis"
"415" "ajalooeri_result.TextGrid" 26 "siit" "####"
"416" "ajalooeri_result.TextGrid" 26 "läbi" "####"
"417" "ajalooeri_result.TextGrid" 26 "ka" "####"
"418" "ajalooeri_result.TextGrid" 26 "kumab" "kumab"
"419" "ajalooeri_result.TextGrid" 26 "jaa" "####"
"420" "ajalooeri_result.TextGrid" 26 "taavi" "####"
"421" "ajalooeri_result.TextGrid" 26 "et" "####"
"422" "ajalooeri_result.TextGrid" 26 "see" "ja"
"423" "ajalooeri_result.TextGrid" 26 "korteri" "korteri"
"424" "ajalooeri_result.TextGrid" 26 "probleem" "probleem"
"425" "ajalooeri_result.TextGrid" 26 "ja" "ja"
"426" "ajalooeri_result.TextGrid" 26 "võibolla" "võibolla"
"427" "ajalooeri_result.TextGrid" 26 "kommentaar" "kommentaar"
"428" "ajalooeri_result.TextGrid" 26 "selle" "selle"
"429" "ajalooeri_result.TextGrid" 26 "kohta" "kohta"
"430" "ajalooeri_result.TextGrid" 26 "et" "####"
"431" "ajalooeri_result.TextGrid" 26 "taavi" "####"
"432" "ajalooeri_result.TextGrid" 26 "mis" "mis"
"433" "ajalooeri_result.TextGrid" 26 "avalikustamine" "avalikustamine"
